Contractor,Company,RoofSize,RoofType,City,State,Date,lat,lng
Jeremy Beck,Ray-Burns,34039,Metal,Lake Cynthiashire,LA,2023-11-01,29.946315,-106.356678
Nicole Rivera,"Christensen, Nelson and Mcclure",20588,Foam,West Shannon,ME,2023-09-06,35.004609,-122.297353
Yvonne Matthews MD,Douglas-Jimenez,29352,Asphalt,Howellstad,UT,2024-12-30,40.1746,-101.251666
Michael Preston,Green LLC,10205,Metal,South Kelly,WA,2023-06-14,44.566436,-80.883052
Joseph Deleon,Brown LLC,46128,Foam,Dodsonborough,FL,2024-02-10,41.009051,-106.461543
Teresa Howard,"Park, Ellison and Smith",1887,Foam,New Pennyburgh,NY,2024-12-22,48.371942,-72.809659
Charles Frank,Mendez-Smith,18307,Metal,Billview,VA,2024-06-25,45.960688,-68.799189
Kenneth Carpenter,Carson-Bean,9309,Asphalt,Port Joseph,NH,2023-05-15,29.097537,-122.332787
Brian Gomez,"Cobb, Weeks and Rodriguez",5912,Foam,Teresaport,AR,2024-06-06,43.34482,-102.322489
Hannah Reyes,Mayer-Cherry,5955,TPO,North Candiceport,TN,2024-02-02,40.352915,-108.844882
Anna George,Jordan Ltd,46817,Metal,Millerstad,OH,2023-12-30,45.787562,-106.568128
Alexander Ellison,Carlson-Hill,40722,Asphalt,South Jessica,TN,2023-07-19,27.0193,-94.535692
Kara Goodman,"Maddox, Thompson and Sanchez",7617,Metal,East Alyssa,MD,2024-10-26,39.171319,-98.12373
Heidi Mercado,Sawyer LLC,5511,Asphalt,South James,VT,2023-05-16,29.40314,-90.375355
Kenneth Ramirez,Brooks-Brown,38165,Asphalt,Joelberg,AR,2025-03-21,37.552278,-76.930129
James Wilkins,Martin LLC,16818,Asphalt,New Stephanieburgh,MN,2024-10-09,30.403349,-121.971552
Jason Garcia,Harris-Santos,19966,Asphalt,Dawnville,MN,2025-04-13,32.984053,-108.166894
Todd Anderson,Brown Inc,34452,Asphalt,Deanhaven,AR,2025-02-03,47.971343,-70.944122
Jason Hernandez,"Wells, Nguyen and Nelson",38865,TPO,Jennaside,ND,2023-08-14,40.095012,-89.106497
Melvin Adams,"Hooper, Wright and Graham",38313,Foam,New Rebecca,MP,2024-08-22,39.529885,-67.404604
Jessica Moore,Galloway-Rodriguez,1922,Asphalt,East Stevenville,GU,2024-11-30,48.702535,-96.669074
Samantha Hubbard,"Mays, Wallace and Smith",8886,Metal,Port Lindseybury,FL,2024-10-11,48.242858,-96.612396
Matthew Wright,Lawrence-Franklin,2485,Foam,South Bradleyhaven,NJ,2024-03-24,32.4283,-106.955625
Michael Hardy,Savage and Sons,6281,TPO,West Ernestport,MT,2025-01-21,26.307658,-121.253668
Nichole Gonzalez,"Powell, Davis and Myers",26215,Asphalt,West Nathan,DC,2024-07-02,35.585594,-77.899057
Julie Martin,"Coleman, Morgan and Dunn",12487,Foam,Medinamouth,CA,2024-04-09,30.769266,-117.202885
John Mitchell,Delacruz Inc,10071,Foam,East Kevin,VA,2023-06-28,43.363965,-74.203824
Christopher Webb,"Clark, Martinez and Sanchez",15774,Foam,Lorettaview,WA,2023-12-24,44.56277,-72.765916
Omar Knox,"Carroll, Simpson and Howard",2708,TPO,Marthaview,ID,2023-07-09,33.617279,-110.073172
Gary Ayala,Hernandez LLC,46565,Foam,South Justinborough,GA,2024-11-28,45.792842,-112.250083
Kelly Walker,Bennett and Sons,10684,TPO,Edwardsmouth,OK,2024-11-12,29.546403,-90.162403
Arthur Mooney,Mitchell-French,4558,TPO,Shelbyberg,FM,2024-09-09,48.639151,-88.90484
Angela Rivera,"Martin, Owens and Clark",41644,TPO,East Lindaberg,AZ,2024-05-22,45.300069,-78.632821
Bryan Wallace,"Reese, Wallace and Meyer",28664,Metal,Whiteheadbury,GA,2025-03-16,40.898336,-123.270991
William Chandler,Wells and Sons,18419,TPO,East Maliktown,TN,2024-09-08,26.03313,-116.429143
Roger Sanders,Graham-Casey,14435,TPO,East Peter,AZ,2025-01-10,37.565177,-109.026181
Christopher Gray,Kelley-Lambert,46374,TPO,Collinstown,OK,2024-06-05,47.92874,-74.521075
Ronald Clark,Mills Ltd,35418,Asphalt,West Tyler,ID,2025-01-02,26.353261,-91.000433
Dana Kelly,Smith-Stevens,39321,Foam,West Amanda,GA,2025-02-10,33.650616,-70.764737
Mary Turner,Green-Ramos,14596,Asphalt,New Rachelburgh,MO,2024-08-08,44.513171,-110.238495
Sarah Smith,Bradford-Ellison,40472,Asphalt,New Andrea,NJ,2023-05-08,44.866133,-68.831152
David Scott,"Jordan, Chan and Ward",15130,TPO,South Timothyfurt,VA,2023-06-25,47.455881,-97.635658
James Williams,"Fowler, Smith and Thomas",48936,Foam,Allisonland,PR,2023-12-03,33.085475,-77.92694
Robert Dyer,Anderson-Carter,24506,Foam,Rachelland,AZ,2024-05-07,35.024886,-90.332812
Kenneth Palmer,Fernandez-Hendricks,46463,TPO,East Jaredmouth,IA,2023-06-09,39.057498,-123.822927
Bobby Smith,"Barker, Rowland and Smith",4084,Asphalt,Fitzpatrickport,PA,2024-12-20,45.509233,-114.783812
Anthony Rogers,"Jennings, Collier and Colon",3295,Asphalt,North Andreaborough,AL,2024-10-19,41.773449,-72.784236
Stephanie Murillo,Young-Watson,26560,Asphalt,Mayburgh,CT,2025-02-23,31.337251,-89.420294
Angela Williams,"Lamb, Johnston and Spencer",47144,Foam,Jessicachester,MO,2024-11-17,32.22373,-105.408341
David Hodge,"Brown, Jones and Patterson",44227,Metal,South Christopherfurt,WA,2024-08-24,29.347009,-68.726765
Donald Berry,Cunningham-Turner,1898,Metal,North Christopher,MT,2023-05-31,27.923845,-87.363283
David Owens MD,Freeman-Brown,44062,Metal,Port Cherylfurt,MI,2024-11-07,37.668447,-71.632331
Lisa Brown,Chavez Ltd,46372,Metal,New Dylan,WY,2025-01-07,48.331503,-78.141461
Micheal Oconnor,Foster-Knight,25637,Metal,West Joshuaview,VT,2025-01-05,29.544485,-98.774816
Ashley Wang,Ramirez LLC,22231,Metal,New Lisaside,NC,2025-01-06,29.589948,-118.587045
Jason Alvarez,Francis PLC,23286,Asphalt,Abbottfort,ND,2023-05-30,36.799277,-79.928388
Nicole Chen,Johnson-Barron,30909,Asphalt,West Desireeland,NH,2023-11-04,38.723841,-109.981824
Derrick Miller,Torres-Green,46973,Foam,South Andrewchester,LA,2024-10-31,40.529591,-116.420456
Patricia Morrison,Figueroa Ltd,33252,Foam,East Madison,MS,2023-11-25,43.219971,-94.088678
Christopher Meyer,"Rodriguez, Powers and Watson",13243,Asphalt,South Kevin,PA,2024-10-07,28.009138,-81.049675
Kristine Thomas,"Lambert, Franklin and Wyatt",42688,Foam,Craigchester,ID,2023-12-17,35.296974,-110.658893
William Porter,Norton-Strong,22260,Metal,Gillstad,IL,2024-04-24,47.901022,-103.106459
Christopher Villegas,Russell Ltd,23195,Foam,East Katherineport,MD,2024-10-22,29.777159,-88.665732
Sergio Davis,Harris-Sanchez,36164,TPO,New Mary,WI,2024-01-07,33.349651,-98.317265
Kenneth Pace,"Rice, Ortiz and Mcdonald",26661,Foam,Alexandraberg,WA,2025-01-23,34.663642,-85.866874
Cody Pitts,Woods-Larson,35032,TPO,West Jasonchester,PA,2023-06-16,38.21238,-99.615025
Daniel Miranda,Anderson-Williams,27187,Foam,Mathewmouth,GU,2024-10-12,42.447168,-123.087829
Laurie Keller,Strickland-Colon,6226,Metal,Schultzchester,MD,2023-07-02,32.652192,-96.872988
Ashley Morrison,Mcbride and Sons,31719,Metal,Penaview,MI,2023-10-14,35.991315,-93.231708
Leslie Jackson,"Bradley, Reed and Rodgers",9208,Asphalt,Kimberlyville,FM,2023-07-30,46.298608,-101.497957
Charles Morgan,Taylor PLC,4812,Asphalt,Elizabethview,MA,2024-12-15,47.124965,-105.192245
Amanda Foster,"Carney, Warren and Kane",43877,Asphalt,New Crystalchester,WA,2024-12-30,36.179838,-74.147222
Kevin Taylor,Hayes Ltd,13489,Asphalt,Lake Joseph,NY,2023-08-23,25.127788,-81.132789
Norman Salazar,"Perez, Miller and Gentry",26226,TPO,Lake Traciberg,PR,2024-03-03,44.52953,-99.84254
Matthew Perez,Boyd-Anderson,18021,Foam,Dianastad,NV,2024-12-05,33.049125,-68.263235
Nicholas Martinez,Hardy Inc,15316,Metal,Stephanieborough,FL,2024-12-18,29.639381,-73.140884
Michael Morgan,"Jordan, Martinez and Schroeder",41777,TPO,West Maryland,UT,2023-05-28,46.349919,-93.129495
Tracy Shelton,Mccarthy-Kelly,30592,Foam,Mikebury,HI,2024-01-02,34.699622,-97.902205
Mrs. Yvonne Dominguez DVM,Miller and Sons,35355,Foam,Albertburgh,LA,2024-11-03,33.630379,-95.346256
Jennifer Blackburn,Stevens-Bryant,9502,Metal,Lake Nicolemouth,HI,2024-08-04,29.194217,-76.847422
Larry Harmon,Davis LLC,8557,Metal,Rodriguezland,MP,2023-06-09,38.127082,-113.071652
Frank Taylor,Brady Ltd,12916,Foam,New Katherinehaven,MN,2024-11-19,45.82101,-81.563183
Lisa Long,Nelson-Harris,48357,Metal,Johnsonport,WA,2023-08-17,39.73613,-87.137881
Stefanie Ferguson,Johnston Inc,38348,Metal,East Lisaside,RI,2025-04-14,45.189116,-74.324077
Colleen Clark,Mcknight and Sons,18850,Asphalt,New Sabrinaborough,FL,2024-05-30,27.608356,-71.10391
Matthew Harris,Peck-Burton,48823,Metal,Walkermouth,FM,2025-02-18,33.381485,-73.682211
Brian Gates,Cunningham-Wood,11932,Asphalt,Gibsontown,NV,2024-06-05,31.179772,-96.653753
Krystal Turner,Reyes-Buck,45153,Asphalt,Port Kristinchester,MI,2024-06-06,35.079207,-113.526954
Jennifer Young,Clark-Rivera,15232,Metal,North Christine,AZ,2023-12-16,38.515059,-82.097983
Denise Chambers,Mendez Inc,32469,TPO,North Katelynmouth,SC,2024-05-29,42.327961,-73.414081
John Shaw,Watson-Blair,44586,Asphalt,South Nicholas,TX,2024-09-25,45.11701,-105.660582
Carol Gray,"Valenzuela, Banks and Hughes",7701,Asphalt,Laurieland,PR,2024-10-14,39.55283,-111.012574
Erica Buck,Roberts-Medina,20748,Metal,Port Brittanyport,CA,2023-07-23,38.066101,-82.39353
Adriana Jackson,Simpson LLC,35318,Foam,East Courtney,PR,2025-02-25,38.291801,-72.251208
Jennifer Johnson,Cain-Fowler,46872,Metal,West Tara,VI,2024-12-27,47.001241,-98.092592
Timothy Joseph,"Ferguson, Bennett and Jackson",28528,Asphalt,West Alexandra,ND,2024-08-06,45.908306,-107.718626
Jennifer Campos,"Holmes, Allen and Jones",35792,TPO,East Richard,DC,2024-01-15,43.874765,-97.943358
Alicia Stafford,Patel-Moore,8697,Metal,Ericamouth,GA,2024-03-10,25.0421,-89.934092
Sandra James,May PLC,40706,Metal,Wrightburgh,MS,2025-04-12,37.231035,-106.403367
Miss Julie Thomas,Black and Sons,4321,TPO,Davidton,LA,2024-02-14,28.05045,-67.017999
Adrian Charles,King LLC,13135,Metal,South Warren,UT,2024-07-08,48.516629,-104.161066
Justin Simmons,"Gilbert, Clark and Allen",43803,Metal,Scotthaven,WA,2023-07-09,29.191866,-82.861205
Susan Hendrix,Butler-Butler,25976,Asphalt,Lake Curtis,FM,2024-11-25,32.726761,-81.164936
Amanda Wu,Johnson Inc,11362,Asphalt,East Susanton,GA,2023-07-15,26.811574,-106.802853
Mary Lara,"Jones, Horton and Hall",49278,Metal,New Kelly,CT,2023-08-28,34.092548,-119.361395
Jamie Gordon,Santana-Lee,9282,Metal,East Aaronview,IN,2024-08-20,46.126966,-71.288926
Sara Evans,Berry LLC,29060,Metal,New Crystal,OK,2023-07-16,32.985887,-101.460553
Eric Williams,Middleton-Stewart,41801,TPO,Elizabethchester,AR,2024-04-07,46.349317,-97.657203
Shannon Robinson,Williams-Tucker,5438,Foam,South Jillbury,AK,2024-07-07,44.109582,-89.853096
Kimberly Morgan,"Morgan, Caldwell and Brown",2878,Metal,East Ian,AZ,2023-12-27,29.517998,-81.306393
Kenneth Miller,Raymond Inc,24783,Foam,Georgeside,MA,2023-08-27,48.624425,-85.53174
Tamara Davis,Lewis-Bradshaw,4760,Asphalt,Jackville,SC,2023-05-03,45.415482,-73.142344
Jessica Hughes,"Hoffman, Phillips and Stout",6294,Metal,Ewingberg,TX,2024-06-18,29.196452,-89.344807
Roy Nichols,"Marshall, Randall and Stuart",27666,Foam,Davidberg,MH,2024-02-03,38.030575,-75.935583
Shawn Murphy,"Townsend, Brown and Huynh",22951,Metal,North Donnashire,IN,2024-11-19,27.298491,-73.45138
Melanie Campbell,Donaldson-Lynch,2816,Asphalt,East Nathan,IN,2024-11-19,38.308515,-78.113584
Natasha Raymond,"Griffin, Johnson and Doyle",41333,TPO,Abigailtown,KS,2023-04-20,38.171198,-97.130555
Jennifer Moore,"Reese, Hall and Aguilar",33752,TPO,Kemptown,CA,2023-07-15,29.790423,-116.150333
Ronnie Watkins,Kelly Ltd,3510,Foam,Port Veronica,AS,2023-05-20,36.511019,-82.279304
Rebecca Adams,Bowen LLC,48148,Metal,New Jillian,FL,2023-09-19,32.769279,-104.91197
Brandon Miller,"Ray, Bush and Randolph",16001,TPO,Chaseton,FM,2023-07-21,36.965904,-73.562418
Gary Ramirez,"Robertson, Lopez and Harris",9417,Asphalt,East Brian,SC,2025-02-08,28.287461,-94.82406
Brandon Cunningham,Hodge-Yates,13413,Asphalt,Lake Sarah,KS,2024-06-23,42.160402,-92.746442
Morgan Diaz,Jones-Santos,22686,Metal,Blackwellfort,WI,2024-06-16,39.536982,-77.817194
Travis Stewart,"Walker, Ayala and Walker",47755,Asphalt,West Melissatown,MA,2024-05-24,40.445875,-111.667752
Michele Kent,"Mitchell, Thomas and Porter",22594,Foam,Timothyville,NH,2024-06-06,39.481432,-117.373676
Benjamin Williams,Hensley-Hudson,14729,Asphalt,New Amyport,FL,2024-03-07,37.240629,-79.271899
Teresa Allen,"Olson, Lewis and Phillips",38805,TPO,East Maryborough,LA,2023-11-13,42.023196,-110.978047
Nicole Cox,"Wilson, Yates and Kelley",33682,Foam,Port David,NC,2024-06-07,40.241128,-112.353254
Barbara Adams,Smith PLC,14009,TPO,Hamiltonbury,MT,2025-01-02,44.250139,-69.457982
Jennifer Harrison,Nunez-Burke,12910,Metal,Harrisville,NH,2023-12-26,34.610988,-94.890038
Brian Prince,Burgess Ltd,12564,Asphalt,New Joshua,FL,2024-07-16,39.575599,-80.990572
